loc,site,prec,I30,sm,rc
DF1,DF1a,0.28,,44,0
DF1,DF1a,0.28,0.46,42,0
DF1,DF1a,0.79,0.81,42,0.022983282
DF1,DF1a,0.3,0.15,42,0
DF1,DF1a,0.41,0.2,41,0
DF1,DF1a,1.54,0.8,41,0.001471285
DF1,DF1a,5.54,4.93,40,0.310682272
DF1,DF1a,0.3,0.51,39,0
DF1,DF1a,0.3,0.18,39,0.003543574
DF1,DF1a,0.33,0.36,39,0
DF1,DF1a,0.9,1.16,39,0.025352113
DF1,DF1a,0.67,1.07,38,0
DF1,DF1a,2.87,0.71,38,0.103728166
DF1,DF1a,0.75,0.23,38,0
DF1,DF1a,0.3,0.14,38,0
DF1,DF1a,1.24,1.37,38,0
DF1,DF1a,0.66,0.41,37,0
DF1,DF1a,0.33,0.51,37,0
DF1,DF1a,0.34,0.32,37,0
DF1,DF1a,0.43,0.66,37,0
DF1,DF1a,0.51,0.46,37,0
DF1,DF1a,0.73,0.32,36,0
DF1,DF1a,2.87,0.66,36,0.002119188
DF1,DF1a,0.41,0.41,36,0
DF1,DF1a,1.1,0.18,36,0
DF1,DF1a,0.27,0.27,36,0
DF1,DF1a,2.79,2.39,36,0.393120789
DF1,DF1a,0.41,0.46,36,0
DF1,DF1a,0.32,0.14,36,0
DF1,DF1a,1.42,0.69,36,0
DF1,DF1a,1.71,0.96,36,0.005925926
DF1,DF1a,0.28,0.2,35,0
DF1,DF1a,1.03,0.96,35,0
DF1,DF1a,0.3,0.27,35,0
DF1,DF1a,0.43,0.66,35,0
DF1,DF1a,0.27,0.23,35,0
DF1,DF1a,0.97,0.56,35,0
DF1,DF1a,0.82,0.18,35,0
DF1,DF1a,0.25,0.32,34,0
DF1,DF1a,0.46,0.27,33,0
DF1,DF1a,2.01,1.42,33,0
DF1,DF1a,0.75,0.96,33,0
DF1,DF1a,0.8,0.32,33,0
DF1,DF1a,0.46,0.51,33,0
DF1,DF1a,0.36,0.61,33,0
DF1,DF1a,0.53,0.51,33,0
DF1,DF1a,1.42,0.37,32,0
DF1,DF1a,1.17,0.78,32,0
DF1,DF1a,1.62,0.37,31,0
DF1,DF1a,0.59,0.41,31,0
DF1,DF1a,0.5,0.87,30,0
DF1,DF1a,0.46,0.18,30,0
DF1,DF1a,0.74,1.09,29,0
DF1,DF1a,1.74,0.41,29,0
DF1,DF1a,0.3,0.55,29,0
DF1,DF1a,2.75,1.16,29,0
DF1,DF1a,1.01,0.23,29,0
DF1,DF1a,1.08,0.96,28,0
DF1,DF1a,1.09,1.83,28,0
DF1,DF1a,0.66,0.37,28,0
DF1,DF1a,2.32,1.63,27,0
DF1,DF1a,0.57,0.23,27,0
DF1,DF1a,0.73,0.27,27,0
DF1,DF1a,0.49,0.98,26,0
DF1,DF1a,0.69,0.46,25,0
DF1,DF1a,0.67,1.16,24,0
DF1,DF1a,2.59,5.09,24,0
DF1,DF1a,0.37,0.37,24,0
DF1,DF1a,2.74,0.87,24,0.005555556
DF1,DF1a,2.02,3.35,23,0
DF1,DF1a,1.07,0.55,23,0
DF1,DF1a,2.64,1.37,23,0.023023554
DF1,DF1a,1.26,1.33,23,0
DF1,DF1a,1.35,2.08,23,0
DF1,DF1a,1.14,2.29,23,0
DF1,DF1a,2.11,3.16,22,0
DF1,DF1a,0.43,0.32,22,0
DF1,DF1a,0.61,0.41,22,0
DF1,DF1a,0.27,0.37,22,0
DF1,DF1a,0.76,0.88,21,0
DF1,DF1a,0.34,0.32,21,0
DF1,DF1a,1.03,2.08,21,0
DF1,DF1a,0.27,0.55,20,0
DF1,DF1a,3.25,3.56,20,0
DF1,DF1a,2.04,2.15,20,0
DF1,DF1a,0.59,0.94,20,0
DF1,DF1a,0.56,1.03,20,0
DF1,DF1a,0.48,0.18,20,0
DF1,DF1a,1.68,1.42,19,0
DF1,DF1a,0.82,0.32,19,0
DF1,DF1a,0.64,0.41,19,0
DF1,DF1a,0.27,0.5,19,0
DF1,DF1a,1.08,1.24,19,0
DF1,DF1a,0.3,0.5,19,0
DF1,DF1a,0.39,0.5,19,0
DF1,DF1a,0.48,0.55,19,0
DF1,DF1a,1.74,0.73,18,0
DF1,DF1a,0.64,1.18,18,0
DF1,DF1a,0.41,0.41,18,0
DF1,DF1a,2.13,3.06,18,0
DF1,DF1a,0.25,0.51,18,0
DF1,DF1a,0.34,0.37,18,0
DF1,DF1a,0.64,0.41,18,0
DF1,DF1a,1.73,1.68,18,0
